t	y(t)
2.558559	0.333179
2.572573	0.333185
2.586587	0.333191
2.600601	0.333197
2.614615	0.333203
2.628629	0.333208
2.642643	0.333213
2.656657	0.333218
2.670671	0.333223
2.684685	0.333227
2.698699	0.333232
2.712713	0.333236
2.726727	0.333240
2.740741	0.333244
2.754755	0.333247
2.768769	0.333251
2.782783	0.333254
2.796797	0.333258
2.810811	0.333261
2.824825	0.333264
2.838839	0.333267
2.852853	0.333269
2.866867	0.333272
2.880881	0.333275
2.894895	0.333277
2.908909	0.333279
2.922923	0.333281
2.936937	0.333284
2.950951	0.333286
2.964965	0.333288
2.978979	0.333290
2.992993	0.333291
3.007007	0.333293
3.021021	0.333295
3.035035	0.333296
3.049049	0.333298
3.063063	0.333299
3.077077	0.333301
3.091091	0.333302
3.105105	0.333303
3.119119	0.333305
3.133133	0.333306
3.147147	0.333307
3.161161	0.333308
3.175175	0.333309
3.189189	0.333310
3.203203	0.333311
3.217217	0.333312
3.231231	0.333313
3.245245	0.333314
3.259259	0.333314
3.273273	0.333315
3.287287	0.333316
3.301301	0.333317
3.315315	0.333317
3.329329	0.333318
3.343343	0.333319
3.357357	0.333319
3.371371	0.333320
3.385385	0.333320
3.399399	0.333321
3.413413	0.333321
3.427427	0.333322
3.441441	0.333322
3.455455	0.333323
3.469469	0.333323
3.483483	0.333324
3.497497	0.333324
3.511512	0.333324
3.525526	0.333325
3.539540	0.333325
3.553554	0.333326
3.567568	0.333326
3.581582	0.333326
3.595596	0.333326
3.609610	0.333327
3.623624	0.333327
3.637638	0.333327
3.651652	0.333328
3.665666	0.333328
3.679680	0.333328
3.693694	0.333328
3.707708	0.333328
3.721722	0.333329
3.735736	0.333329
3.749750	0.333329
3.763764	0.333329
3.777778	0.333329
3.791792	0.333330
3.805806	0.333330
3.819820	0.333330
3.833834	0.333330
3.847848	0.333330
3.861862	0.333330
3.875876	0.333330
3.889890	0.333330
3.903904	0.333331
3.917918	0.333331
3.931932	0.333331
3.945946	0.333331
3.959960	0.333331
3.973974	0.333331
3.987988	0.333331
4.002002	0.333331
4.016016	0.333331
4.030030	0.333331
4.044044	0.333332
4.058058	0.333332
4.072072	0.333332
4.086086	0.333332
4.100100	0.333332
4.114114	0.333332
4.128128	0.333332
4.142142	0.333332
4.156156	0.333332
4.170170	0.333332
4.184184	0.333332
4.198198	0.333332
4.212212	0.333332
4.226226	0.333332
4.240240	0.333332
4.254254	0.333332
4.268268	0.333332
4.282282	0.333332
4.296296	0.333332
4.310310	0.333333
4.324324	0.333333
4.338338	0.333333
4.352352	0.333333
4.366366	0.333333
4.380380	0.333333
4.394394	0.333333
4.408408	0.333333
4.422422	0.333333
4.436436	0.333333
4.450450	0.333333
4.464464	0.333333
4.478478	0.333333
4.492492	0.333333
4.506507	0.333333
4.520521	0.333333
4.534535	0.333333
4.548549	0.333333
4.562563	0.333333
4.576577	0.333333
4.590591	0.333333
4.604605	0.333333
4.618619	0.333333
4.632633	0.333333
4.646647	0.333333
4.660661	0.333333
4.674675	0.333333
4.688689	0.333333
4.702703	0.333333
4.716717	0.333333
4.730731	0.333333
4.744745	0.333333
4.758759	0.333333
4.772773	0.333333
4.786787	0.333333
4.800801	0.333333
4.814815	0.333333
4.828829	0.333333
4.842843	0.333333
4.856857	0.333333
4.870871	0.333333
4.884885	0.333333
4.898899	0.333333
4.912913	0.333333
4.926927	0.333333
4.940941	0.333333
4.954955	0.333333
4.968969	0.333333
4.982983	0.333333
4.996997	0.333333
5.011011	0.333333
5.025025	0.333333
5.039039	0.333333
5.053053	0.333333
5.067067	0.333333
5.081081	0.333333
5.095095	0.333333
5.109109	0.333333
5.123123	0.333333
5.137137	0.333333
5.151151	0.333333
5.165165	0.333333
5.179179	0.333333
5.193193	0.333333
5.207207	0.333333
5.221221	0.333333
5.235235	0.333333
5.249249	0.333333
5.263263	0.333333
5.277277	0.333333
5.291291	0.333333
5.305305	0.333333
5.319319	0.333333
5.333333	0.333333
5.347347	0.333333
5.361361	0.333333
5.375375	0.333333
5.389389	0.333333
5.403403	0.333333
5.417417	0.333333
5.431431	0.333333
5.445445	0.333333
5.459459	0.333333
5.473473	0.333333
5.487487	0.333333
5.501502	0.333333
5.515516	0.333333
5.529530	0.333333
5.543544	0.333333
5.557558	0.333333
5.571572	0.333333
5.585586	0.333333
5.599600	0.333333
5.613614	0.333333
5.627628	0.333333
5.641642	0.333333
5.655656	0.333333
5.669670	0.333333
5.683684	0.333333
5.697698	0.333333
5.711712	0.333333
5.725726	0.333333
5.739740	0.333333
5.753754	0.333333
5.767768	0.333333
5.781782	0.333333
5.795796	0.333333
5.809810	0.333333
5.823824	0.333333
5.837838	0.333333
5.851852	0.333333
5.865866	0.333333
5.879880	0.333333
5.893894	0.333333
5.907908	0.333333
5.921922	0.333333
5.935936	0.333333
5.949950	0.333333
5.963964	0.333333
5.977978	0.333333
5.991992	0.333333
6.006006	0.333333
6.020020	0.333333
6.034034	0.333333
6.048048	0.333333
6.062062	0.333333
6.076076	0.333333
6.090090	0.333333
6.104104	0.333333
6.118118	0.333333
6.132132	0.333333
6.146146	0.333333
6.160160	0.333333
6.174174	0.333333
6.188188	0.333333
6.202202	0.333333
6.216216	0.333333
6.230230	0.333333
6.244244	0.333333
6.258258	0.333333
6.272272	0.333333
6.286286	0.333333
6.300300	0.333333
6.314314	0.333333
6.328328	0.333333
6.342342	0.333333
6.356356	0.333333
6.370370	0.333333
6.384384	0.333333
6.398398	0.333333
6.412412	0.333333
6.426426	0.333333
6.440440	0.333333
6.454454	0.333333
6.468468	0.333333
6.482482	0.333333
6.496496	0.333333
6.510511	0.333333
6.524525	0.333333
6.538539	0.333333
6.552553	0.333333
6.566567	0.333333
6.580581	0.333333
6.594595	0.333333
6.608609	0.333333
6.622623	0.333333
6.636637	0.333333
6.650651	0.333333
6.664665	0.333333
6.678679	0.333333
6.692693	0.333333
6.706707	0.333333
6.720721	0.333333
6.734735	0.333333
6.748749	0.333333
6.762763	0.333333
6.776777	0.333333
6.790791	0.333333
6.804805	0.333333
6.818819	0.333333
6.832833	0.333333
6.846847	0.333333
6.860861	0.333333
6.874875	0.333333
6.888889	0.333333
6.902903	0.333333
6.916917	0.333333
6.930931	0.333333
6.944945	0.333333
6.958959	0.333333
6.972973	0.333333
6.986987	0.333333
7.001001	0.333333
7.015015	0.333333
7.029029	0.333333
7.043043	0.333333
7.057057	0.333333
7.071071	0.333333
7.085085	0.333333
7.099099	0.333333
7.113113	0.333333
7.127127	0.333333
7.141141	0.333333
7.155155	0.333333
7.169169	0.333333
7.183183	0.333333
7.197197	0.333333
7.211211	0.333333
7.225225	0.333333
7.239239	0.333333
7.253253	0.333333
7.267267	0.333333
7.281281	0.333333
7.295295	0.333333
7.309309	0.333333
7.323323	0.333333
7.337337	0.333333
7.351351	0.333333
7.365365	0.333333
7.379379	0.333333
7.393393	0.333333
7.407407	0.333333
7.421421	0.333333
7.435435	0.333333
7.449449	0.333333
7.463463	0.333333
7.477477	0.333333
7.491491	0.333333
7.505506	0.333333
7.519520	0.333333
7.533534	0.333333
7.547548	0.333333
7.561562	0.333333
7.575576	0.333333
7.589590	0.333333
7.603604	0.333333
7.617618	0.333333
7.631632	0.333333
7.645646	0.333333
7.659660	0.333333
7.673674	0.333333
7.687688	0.333333
7.701702	0.333333
7.715716	0.333333
7.729730	0.333333
7.743744	0.333333
7.757758	0.333333
7.771772	0.333333
7.785786	0.333333
7.799800	0.333333
7.813814	0.333333
7.827828	0.333333
7.841842	0.333333
7.855856	0.333333
7.869870	0.333333
7.883884	0.333333
7.897898	0.333333
7.911912	0.333333
7.925926	0.333333
7.939940	0.333333
7.953954	0.333333
7.967968	0.333333
7.981982	0.333333
7.995996	0.333333
8.010010	0.333333
8.024024	0.333333
8.038038	0.333333
8.052052	0.333333
8.066066	0.333333
8.080080	0.333333
8.094094	0.333333
8.108108	0.333333
8.122122	0.333333
8.136136	0.333333
8.150150	0.333333
8.164164	0.333333
8.178178	0.333333
8.192192	0.333333
8.206206	0.333333
8.220220	0.333333
8.234234	0.333333
8.248248	0.333333
8.262262	0.333333
8.276276	0.333333
8.290290	0.333333
8.304304	0.333333
8.318318	0.333333
8.332332	0.333333
8.346346	0.333333
8.360360	0.333333
8.374374	0.333333
8.388388	0.333333
8.402402	0.333333
8.416416	0.333333
8.430430	0.333333
8.444444	0.333333
8.458458	0.333333
8.472472	0.333333
8.486486	0.333333
8.500501	0.333333
8.514515	0.333333
8.528529	0.333333
8.542543	0.333333
8.556557	0.333333
8.570571	0.333333
8.584585	0.333333
8.598599	0.333333
8.612613	0.333333
8.626627	0.333333
8.640641	0.333333
8.654655	0.333333
8.668669	0.333333
8.682683	0.333333
8.696697	0.333333
8.710711	0.333333
8.724725	0.333333
8.738739	0.333333
8.752753	0.333333
8.766767	0.333333
8.780781	0.333333
8.794795	0.333333
8.808809	0.333333
8.822823	0.333333
8.836837	0.333333
8.850851	0.333333
8.864865	0.333333
